major,gender,attendance,homework_completion,lib_borrow,club_participation,class_interaction,exam_score,gpa
生命科学学院,0,24,0.9111569903332617,2,1,1,66,2.0329223297510435
社会学院,1,23,0.9249475211495123,2,1,11,81,2.921146195244847
环境学院,0,24,0.8294976970178346,0,0,5,96,2.6658660552038635
文学院,1,29,0.6760615451650442,7,1,13,89,3.097054149405781
物理与天文学院,1,28,0.8708162740590869,7,1,6,68,2.356977889923605
化学学院,0,23,0.8851012008239726,8,0,8,86,2.972671112889187
教育学部,0,31,0.9941540561071622,5,0,6,97,3.682618147377754
化学学院,0,27,0.8165205265025287,1,0,14,82,2.664030700353794
化学学院,0,27,0.7085476060100225,0,1,11,71,1.5616887189610837
化学学院,1,21,0.8734690086958027,7,0,16,72,2.486344280383747
文学院,1,25,0.9917503278665818,9,1,14,92,3.827829164425737
文学院,0,24,0.6708855633076376,3,0,14,74,1.852644694302462
艺术与传媒学院,0,21,0.730399167414241,6,1,13,75,2.163450397934724
教育学部,1,31,0.8167523815090725,9,0,10,93,3.6732681081454808
人工智能学院,0,29,0.668085853952802,3,0,10,68,1.8916265301722774
人工智能学院,0,23,0.6088882558079753,0,1,19,86,2.3540785734186285
统计学院,0,26,0.7347932489765002,7,0,12,74,2.517192941016374
文学院,0,20,0.9461483206004232,9,0,12,94,3.404787526119766
政府管理学院,1,28,0.6173873597294859,8,1,7,93,2.7101312868495864
社会学院,1,29,0.771571623606767,9,0,6,99,3.1737466007001807
心理学部,0,31,0.9048803091704329,8,0,19,89,3.690747567699683
法学院,1,20,0.9812730387643541,8,1,12,82,3.0734232702039335
马克思主义学院,0,31,0.9941901596017729,3,1,10,68,2.9125720259728953
化学学院,0,24,0.7687877522434967,8,0,18,91,3.133143749884522
心理学部,0,26,0.9801537177516471,3,0,5,94,3.2471390366459563
教育学部,1,27,0.6141675893123455,1,1,7,91,2.5169458730065353
生命科学学院,1,21,0.8983667751994224,9,1,18,75,2.735238394251417
文学院,1,23,0.8570984138534452,2,0,4,91,2.6517675601682082
心理学部,1,21,0.699808743034461,1,1,9,84,2.06508439166658
艺术与传媒学院,1,23,0.8029274002718596,0,0,0,89,2.289865409605208
马克思主义学院,0,25,0.6518214951041982,5,0,11,96,2.994568624953948
数学科学学院,0,25,0.9486388603806244,3,1,6,96,3.273498544072467
数学科学学院,1,31,0.7431592342182591,6,1,7,94,3.1129574591856204
人工智能学院,1,21,0.8504177881862867,6,1,17,67,2.3378728607877015
哲学学院,1,30,0.6635105145149048,9,1,6,99,2.877676017677231
心理学部,0,23,0.6824659378524829,0,0,13,95,2.74749711450635
数学科学学院,1,23,0.9967825483212608,8,1,19,84,3.6497547817609397
物理与天文学院,0,20,0.9012345577765317,7,0,17,77,2.6585659119372735
生命科学学院,0,21,0.9847887479096283,9,0,3,98,2.812248699874739
法学院,1,22,0.7183404660848176,0,0,9,69,1.6565435493455234
统计学院,0,30,0.6658251506479281,7,0,10,60,1.6709167673636691
物理与天文学院,0,24,0.8012273853915324,4,0,10,63,1.9384906104799555
统计学院,1,30,0.7978673128909374,0,1,19,85,3.014527031077974
生命科学学院,0,27,0.6699786055031951,3,1,18,70,2.316863492106208
环境学院,1,25,0.893287827832564,6,0,0,74,2.042442500390645
生命科学学院,0,22,0.7447110137754936,4,1,1,91,2.1543939479089365
哲学学院,1,25,0.6745460923722069,2,1,8,74,2.148027360674008
人工智能学院,1,26,0.7327933578173154,3,0,16,87,2.920737817232616
体育与运动学院,0,25,0.825463479854006,1,0,4,82,1.8790557411148396
环境学院,1,29,0.8905883728721773,7,1,1,62,1.8478961826331282
地理科学学部,0,25,0.7927563544229939,1,0,3,91,2.103775439089552
体育与运动学院,0,20,0.8102379959313494,5,1,6,79,2.379237411390901
人工智能学院,1,22,0.6555783743770993,6,1,16,73,2.16677346402313
马克思主义学院,0,26,0.9658763698832928,6,0,2,94,3.0882644204130085
地理科学学部,1,23,0.9714896791968177,0,1,8,99,3.057159651130149
经济与工商管理学院,0,31,0.8733706361672015,7,1,0,68,2.1915592614238264
物理与天文学院,0,23,0.6070525635736098,8,0,19,83,2.7859961536404083
环境学院,1,26,0.8148296863613305,6,0,15,63,2.363952267344173
数学科学学院,0,28,0.8516875888354454,7,1,2,71,2.274227419024542
数学科学学院,0,30,0.997861689183244,3,0,18,83,3.990069127119886
生命科学学院,0,21,0.9984267820779187,7,1,15,60,2.729318835812035
化学学院,0,28,0.943044494130223,2,0,0,73,2.187810874980206
文学院,0,22,0.6255323968104454,0,0,11,90,2.3091087225828453
人工智能学院,0,25,0.981310556311492,7,1,19,69,3.4565765287573296
数学科学学院,0,23,0.8450644988607996,5,1,5,92,2.5633776201342373
社会学院,0,20,0.9203547081916718,8,1,2,95,2.9490573754910323
教育学部,1,28,0.7628771398743415,2,0,6,94,2.5883450047015235
教育学部,0,30,0.7278677884938359,7,1,2,77,2.101499373016854
哲学学院,0,25,0.7852976581935232,8,0,12,84,3.0764335833313243
哲学学院,1,27,0.6587498051875308,8,0,15,71,2.0926804573631133
物理与天文学院,1,21,0.7428264555013224,6,1,13,87,2.871726721761129
统计学院,1,26,0.9430469999073114,9,1,8,68,2.4197309634285005
数学科学学院,0,25,0.6151801945043526,2,0,7,83,2.136394174791857
数学科学学院,1,21,0.6603512187298418,2,1,14,79,2.3741170324232272
物理与天文学院,1,21,0.6500464638597941,1,0,18,85,2.2163993105584603
生命科学学院,0,23,0.7612302170800912,0,0,12,64,1.796235608560194
艺术与传媒学院,0,23,0.9987947603563447,1,0,13,86,3.378464036631761
人工智能学院,1,22,0.6693431720845531,4,1,10,87,2.2234053714425372
生命科学学院,1,27,0.658193059839704,0,0,17,96,3.1587934505592403
马克思主义学院,0,26,0.9660222919104617,9,0,2,99,3.156548699104216
化学学院,0,21,0.9528202067863862,3,1,3,66,2.2499166544404137
体育与运动学院,0,22,0.6128961479986218,9,1,2,78,1.4368191644005406
法学院,0,29,0.900682384071726,9,1,12,81,3.208573425374779
心理学部,0,28,0.8621862805905718,0,0,15,77,2.7754252076273827
体育与运动学院,1,24,0.9070963239410836,9,1,12,74,2.7896494241852117
生命科学学院,0,21,0.7978009819183689,7,0,9,92,2.845657964375602
物理与天文学院,0,22,0.9965516873793182,4,0,17,98,3.9212693594339085
数学科学学院,0,27,0.6175388074843853,9,0,7,64,1.3074270783172728
物理与天文学院,0,23,0.6937486345615222,3,1,6,99,2.385188690214093
地理科学学部,0,21,0.758618394789446,2,0,16,96,3.345782782456714
新闻传播学院,1,21,0.7799111766262813,8,0,5,64,1.7369081034931753
地理科学学部,0,25,0.9685469610798074,5,1,14,96,3.510470354295505
文学院,1,27,0.8240017456309036,0,0,8,66,1.9787904965627907
艺术与传媒学院,0,26,0.6180443982081575,7,1,9,61,1.6222017140578568
物理与天文学院,1,23,0.7631451853702648,9,1,7,89,3.0811112478522498
数学科学学院,1,21,0.766596164947628,1,1,6,70,1.4890922399346422
哲学学院,0,28,0.986196375375114,8,1,4,96,3.759379558325211
法学院,0,23,0.8396788364084433,6,0,17,98,3.698105880474708
人工智能学院,0,28,0.8542604284635755,2,0,15,92,3.2595406601433523
法学院,0,24,0.8853012125005083,3,0,14,68,2.297923508743663
人工智能学院,0,31,0.9080157262728493,2,0,9,70,2.417351189014268
新闻传播学院,1,31,0.8540204280809957,5,1,0,71,2.2317477574746403
政府管理学院,0,30,0.6948777404535742,8,0,5,69,1.6186877208965846
数学科学学院,0,30,0.9496183657364656,9,1,14,70,3.088021131927563
生命科学学院,1,26,0.8928479201642521,8,0,1,92,2.8021960070424776
体育与运动学院,0,31,0.8967481940387823,0,0,11,79,2.5037272695425985
环境学院,1,24,0.9986226956938997,9,1,0,64,2.093828339368299
物理与天文学院,0,21,0.9210106139453264,5,0,14,83,3.0565796762504513
化学学院,1,25,0.9316605612620613,0,0,12,91,2.903866949729739
人工智能学院,0,26,0.9805622062840633,3,1,0,90,2.8695093876214104
数学科学学院,1,30,0.6604535999395575,6,0,0,73,1.4044979577776637
社会学院,1,25,0.7990909505912271,3,0,3,78,2.0457307093440122
统计学院,0,22,0.832226809436315,8,0,13,83,3.0229780210899664
艺术与传媒学院,0,29,0.731710291688983,9,1,16,91,3.3123017960580565
艺术与传媒学院,0,27,0.9357613375578022,4,1,12,71,2.6751858193980023
新闻传播学院,1,22,0.9049678486582894,8,0,11,80,3.182734031773597
心理学部,1,24,0.8883532298032496,0,0,5,95,2.6844637387299275
心理学部,1,28,0.9988597759032667,3,0,18,84,3.455612042099265
外国语言文学学院,0,30,0.7037525493633562,6,1,19,73,2.786905046061656
统计学院,0,24,0.8941829006701685,1,0,15,67,2.8253358285527415
艺术与传媒学院,1,26,0.8205617899623603,8,1,15,88,3.3456529017469423
体育与运动学院,0,30,0.7251956729975504,2,1,11,84,2.596983138240176
文学院,1,26,0.6642347482892503,3,0,19,82,2.8013237670789604
政府管理学院,0,24,0.9583535348270189,3,1,19,95,3.9974627675913426
人工智能学院,0,21,0.8381821930831381,7,1,12,71,2.401370866393915
历史学院,1,24,0.9299735350563179,1,1,0,71,2.0360447117243305
人工智能学院,0,26,0.8181379936006179,4,1,17,77,3.049116839442703
教育学部,0,26,0.6879908322616078,1,1,1,95,2.2868370457040066
数学科学学院,0,23,0.7350195252401301,5,0,1,78,1.6954086678260847
统计学院,0,20,0.7526155369894186,8,1,0,94,2.4653172516637056
法学院,0,25,0.9891739250014809,8,1,9,86,2.8036558611222593
物理与天文学院,1,22,0.602253311352553,0,1,0,62,1.0
化学学院,0,30,0.9942664092098028,3,1,13,72,2.9677116884058377
化学学院,1,24,0.9921846540439323,3,1,7,97,3.3384034055326786
社会学院,0,23,0.9984603162120547,0,0,0,78,2.3185779273545473
新闻传播学院,0,21,0.7906352715678538,9,0,13,94,2.976111978693833
政府管理学院,1,31,0.9855235878483999,1,1,9,74,3.163787553325912
心理学部,1,26,0.758239672739931,5,0,18,75,2.6969907669992534
物理与天文学院,0,24,0.6105177762673547,9,1,7,94,2.3658412893091327
哲学学院,0,26,0.6897388745487059,2,0,1,64,1.402594017677645
教育学部,1,28,0.9781184979749539,8,0,3,66,2.380339434758638
化学学院,1,23,0.60550587733416,2,1,11,80,1.6716482001223378
新闻传播学院,1,24,0.81839765416919,2,1,8,60,1.7765211422557792
政府管理学院,1,28,0.6302406355578716,8,1,0,84,2.173932554465327
物理与天文学院,0,29,0.7145586313710314,2,1,7,89,2.381565229506121
人工智能学院,0,30,0.6352371402847546,5,0,16,78,2.5931133710087657
生命科学学院,0,23,0.9438114484452226,5,1,15,83,3.299054654085657
政府管理学院,0,24,0.8364282838590823,0,0,14,74,2.0436295096020585
人工智能学院,0,24,0.9608425862873251,6,1,8,94,3.568779861741498
物理与天文学院,1,27,0.8753412798160913,8,1,7,83,2.759237793500866
地理科学学部,1,23,0.9884116524980399,8,0,19,95,3.8005681756133924
经济与工商管理学院,1,23,0.8039510619041627,8,1,13,73,2.3916313144419377
艺术与传媒学院,0,26,0.8554842327051497,1,1,11,81,2.8531284919979125
物理与天文学院,1,30,0.8305235279556227,0,0,14,98,3.7493087843214004
体育与运动学院,0,24,0.793704171778645,5,0,3,67,1.9438540773107695
新闻传播学院,0,25,0.9383837461692051,5,1,3,75,2.189877079441736
地理科学学部,0,25,0.857810054268144,3,0,1,76,2.0674729123673545
历史学院,1,31,0.9205249059421892,7,1,3,64,2.4132713151524947
艺术与传媒学院,0,25,0.9145455746409653,4,0,19,94,3.828886246995835
文学院,0,29,0.6764180642621181,6,1,17,96,3.2247043092566114
经济与工商管理学院,1,24,0.8600654130070575,8,0,14,77,2.838063731825685
文学院,0,24,0.6798592076725336,0,0,7,80,1.9215187661307076
化学学院,1,28,0.8333281912975083,8,0,9,60,1.9152616347662974
体育与运动学院,0,27,0.8709738737785202,3,1,1,76,2.2736809606236545
人工智能学院,1,23,0.9988940286350347,6,1,8,67,2.4455318095528518
哲学学院,0,26,0.6122167912598954,3,1,15,88,2.3535837854681483
马克思主义学院,0,27,0.6364969576454883,3,0,11,79,2.2784936841718726
艺术与传媒学院,1,31,0.6308106785484926,3,0,4,96,2.6394845708022294
数学科学学院,0,28,0.759344514506696,5,0,6,98,2.643730082652061
环境学院,1,24,0.9286353445943255,4,0,14,64,2.297185531545442
经济与工商管理学院,0,22,0.9376225331148542,1,1,12,69,2.349359667442751
物理与天文学院,1,23,0.8947918382884607,8,0,7,65,1.885714787583746
地理科学学部,0,29,0.9587512967319791,5,0,18,66,3.0489371555663576
外国语言文学学院,0,25,0.729143977667781,9,1,18,94,3.360898887146596
环境学院,0,29,0.6352618577009196,5,1,4,86,2.4728073324025743
法学院,1,30,0.62326121119594,8,0,17,80,2.8099457746692464
外国语言文学学院,1,24,0.9408530878477546,0,0,16,83,3.45146968958269
生命科学学院,1,28,0.8921745177414765,6,0,6,88,2.7256295775351886
人工智能学院,1,30,0.8794461224044483,2,1,13,86,3.3521557596907856
体育与运动学院,1,30,0.7358705354182675,3,0,14,97,3.369590314894564
新闻传播学院,0,22,0.7519620754472904,0,0,16,61,1.7685951697128786
数学科学学院,0,21,0.9832454115597277,2,0,2,84,2.685403902782627
新闻传播学院,0,25,0.625521897639174,6,1,12,61,1.261825549925792
社会学院,0,26,0.9094926947751171,5,0,10,97,3.5818898702713726
统计学院,0,24,0.7238533294833572,0,1,2,77,1.723598304741962
历史学院,1,20,0.6156218473650225,8,1,5,66,1.0
文学院,0,22,0.8970280442969825,3,1,5,63,1.9488914199950762
文学院,1,22,0.7323647542713498,6,1,5,99,2.733615820727828
艺术与传媒学院,0,31,0.8888590074971185,3,1,5,69,2.214160404718293
统计学院,1,23,0.883061753247248,6,0,5,87,2.7399554940133686
艺术与传媒学院,1,29,0.813914750173246,4,0,13,89,3.38652488701637
艺术与传媒学院,1,25,0.9109492516842195,0,1,10,83,2.8594570659845253
化学学院,0,24,0.8324153296684974,3,1,15,95,3.2481536374353936
生命科学学院,0,20,0.7146547411393043,2,0,18,75,2.010369377208722
经济与工商管理学院,0,25,0.8936461204257675,5,1,6,92,2.8729459503134853
心理学部,0,28,0.8356559263510894,5,0,5,69,2.248685248435969
历史学院,1,30,0.6050909126759682,0,0,10,80,2.308940552417273
艺术与传媒学院,1,20,0.9606576711081237,1,1,3,86,2.4109058677242428
马克思主义学院,1,27,0.8182574473297254,1,0,0,80,2.5002002152095177
教育学部,1,27,0.9474509061918127,9,0,8,86,3.170541075992013
人工智能学院,0,22,0.9530947355928978,3,0,12,91,3.1723268565839584
体育与运动学院,1,28,0.7779866626940354,8,1,7,64,1.921418207062887
政府管理学院,0,30,0.8030639985804924,1,0,1,94,2.6897756819827596
社会学院,1,30,0.7663017550702408,7,0,15,81,3.012606471821725
社会学院,1,27,0.7797747101232182,0,0,18,95,3.4781145002526754
教育学部,1,22,0.9580588635886911,7,1,7,69,2.2668188205919195
环境学院,0,29,0.9152576055871644,2,1,11,93,3.6080108472951644
法学院,0,24,0.6506102705262312,4,1,10,65,1.2297135169168187
心理学部,1,22,0.8441231126160383,0,1,8,73,1.8840713602802683
